ZNorris,Zaina ,Norris,Norris@gmail.com,PharmD,503-555-1238,No
NBowers,Nadia ,Bowers,Bowers@gmail.com,PharmD,503-555-1239,No
KRivas,Kester ,Rivas,Rivas@gmail.com,PharmD,503-555-1240,No
CGalvan,Cheyenne ,Galvan,Galvan@gmail.com,PharmD,503-555-1241,No
TWatkins,Timur ,Watkins,Watkins@gmail.com,PharmD,503-555-1242,No
JDunkley,Jolie ,Dunkley,Dunkley@gmail.com,PharmD,503-555-1243,No
RBurnett,Roza ,Burnett,Burnett@gmail.com,PharmD,503-555-1244,No
ATalbot,Abdur-Rahman ,Talbot,Talbot@gmail.com,PharmD,503-555-1245,No
CWheeler,Cataleya ,Wheeler,Wheeler@gmail.com,PharmD,503-555-1246,No
LIrvine,Lacie-Mae ,Irvine,Irvine@gmail.com,DO,503-555-1247,Yes
AElliott,Aneesha ,Elliott,Elliott@gmail.com,DO,503-555-1248,No
ZBruce,Zephaniah ,Bruce,Bruce@gmail.com,DO,503-555-1249,No
AKrause,Axel ,Krause,Krause@gmail.com,DO,503-555-1250,No
BAvila,Brielle ,Avila,Avila@gmail.com,DO,503-555-1251,No
OSchultz,Orlando ,Schultz,Schultz@gmail.com,DO,503-555-1252,No
THarris,Tiah ,Harris,Harris@gmail.com,PA,503-555-1253,No
NWoolley,Nathaniel ,Woolley,Woolley@gmail.com,PA,503-555-1254,No
NGonzalez,Norah ,Gonzalez,Gonzalez@gmail.com,PA,503-555-1255,No
ADrummond,Aliyah ,Drummond,Drummond@gmail.com,PA,503-555-1256,No
SMaldonado,Shayan ,Maldonado,Maldonado@gmail.com,LNHA,503-555-1257,No
AFord,Ayman ,Ford,Ford@gmail.com,LNHA,503-555-1258,No
LPugh,Lottie ,Pugh,Pugh@gmail.com,LNHA,503-555-1259,No
ARose,Anisah ,Rose,Rose@gmail.com,LNHA,503-555-1260,No
MHeaton,Momina ,Heaton,Heaton@gmail.com,LNHA,503-555-1261,No
RMarks,Roberto ,Marks,Marks@gmail.com,PA,503-555-1262,Yes
CMair,Chantelle ,Mair,Mair@gmail.com,PA,503-555-1263,No
GBryant,Grady ,Bryant,Bryant@gmail.com,PA,503-555-1264,No
KRollins,Kevin ,Rollins,Rollins@gmail.com,PA,503-555-1265,No
AMack,Andreea ,Mack,Mack@gmail.com,PA,503-555-1266,No
BDunn,Blessing ,Dunn,Dunn@gmail.com,PA,503-555-1267,No
TMatthams,Tommy-Lee ,Matthams,Matthams@gmail.com,PA,503-555-1268,No
BBonner,Barbara ,Bonner,Bonner@gmail.com,PA,503-555-1269,No
BFischer,Bentley ,Fischer,Fischer@gmail.com,PA,503-555-1270,No
SRoberson,Stewart ,Roberson,Roberson@gmail.com,RD,503-555-1271,No
DHess,Dillon ,Hess,Hess@gmail.com,RD,503-555-1272,No
IKnowles,Ioana ,Knowles,Knowles@gmail.com,RD,503-555-1273,No
OSilva,Ozan ,Silva,Silva@gmail.com,RD,503-555-1274,No
AWalton,Angela ,Walton,Walton@gmail.com,RD,503-555-1275,No
JRiggs,Janae ,Riggs,Riggs@gmail.com,RD,503-555-1276,No
RHebert,Ricardo ,Hebert,Hebert@gmail.com,RD,503-555-1277,No
AEngland,Ayra ,England,England@gmail.com,RN,503-555-1278,No
HAdamson,Hajra ,Adamson,Adamson@gmail.com,RN,503-555-1279,No
HMacdonald,Hester ,Macdonald,Macdonald@gmail.com,RN,503-555-1280,No
SHaynes,Suhayb ,Haynes,Haynes@gmail.com,RN,503-555-1281,No
RMiller,Rayhaan ,Miller,Miller@gmail.com,RN,503-555-1282,No
TDelaney,Tessa ,Delaney,Delaney@gmail.com,RN,503-555-1283,No
HMeadows,Haaris ,Meadows,Meadows@gmail.com,LSW,503-555-1284,No
LSimpson,Lianne ,Simpson,Simpson@gmail.com,LSW,503-555-1285,No
TRangel,Taybah ,Rangel,Rangel@gmail.com,LSW,503-555-1286,No
KSadler,Keiron ,Sadler,Sadler@gmail.com,RN,503-555-1287,No
AGill,Abdallah ,Gill,Gill@gmail.com,RN,503-555-1288,No
LWashington,Lily-Anne ,Washington,Washington@gmail.com,RN,503-555-1289,No
ZClarkson,Zuzanna ,Clarkson,Clarkson@gmail.com,RN,503-555-1290,No
BBritt,Brendon ,Britt,Britt@gmail.com,RN,503-555-1291,No
JCross,Jarrad ,Cross,Cross@gmail.com,RN,503-555-1292,No
ELeonard,Ezmae ,Leonard,Leonard@gmail.com,RN,503-555-1293,No
ZWare,Zaydan ,Ware,Ware@gmail.com,RN,503-555-1294,No
BByers,Braiden ,Byers,Byers@gmail.com,LPN,503-555-1295,No
KJoyner,Kamal ,Joyner,Joyner@gmail.com,LPN,503-555-1296,No
MGilliam,Mercedes ,Gilliam,Gilliam@gmail.com,LPN,503-555-1297,No
RPetty,Roksana ,Petty,Petty@gmail.com,LPN,503-555-1298,No
MColeman,Maria ,Coleman,Coleman@gmail.com,LPN,503-555-1299,No
TGraves,Tyreece ,Graves,Graves@gmail.com,LSW,503-555-1300,No
ACline,Aaisha ,Cline,Cline@gmail.com,LSW,503-555-1301,No
MRobin,Mustafa ,Robin,Robin@gmail.com,LSW,503-555-1302,No
EFloyd,Eve ,Floyd,Floyd@gmail.com,LPN,503-555-1303,No
KYates,King ,Yates,Yates@gmail.com,LPN,503-555-1304,No
GStewart,Georgiana ,Stewart,Stewart@gmail.com,LPN,503-555-1305,No
LDonald,Linzi ,Donald,Donald@gmail.com,LPN,503-555-1306,No
MConnor,Miley ,Connor,Connor@gmail.com,LPN,503-555-1307,No
SCornish,Simrah ,Cornish,Cornish@gmail.com,LSW,503-555-1308,No
NMorris,Norman ,Morris,Morris@gmail.com,LSW,503-555-1309,No
HPollard,Hibah ,Pollard,Pollard@gmail.com,LSW,503-555-1310,No
WMartins,Wilf ,Martins,Martins@gmail.com,LPN,503-555-1311,No
